city,year,month,t2m,t2m_max,t2m_min,prec_acum
Puerto Ayacucho,2008,6,25.07,30.21,21.4,511.52
Puerto Ayacucho,2008,7,24.54,29.33,20.9,174.02
Puerto Ayacucho,2008,8,25.34,30.18,21.57,290.04
Puerto Ayacucho,2008,9,25.42,30.37,21.26,89.65
Puerto Ayacucho,2008,10,25.69,31.19,21.35,110.74
Puerto Ayacucho,2008,11,25.64,30.71,22.11,189.84
Puerto Ayacucho,2008,12,25.51,29.76,21.58,47.46
Puerto Ayacucho,2009,1,26.22,32.19,21.7,15.82
Puerto Ayacucho,2009,2,28.5,36.83,22.37,0.0
Puerto Ayacucho,2009,3,28.58,37.98,21.4,21.09
Puerto Ayacucho,2009,4,28.81,38.62,23.07,47.46
Puerto Ayacucho,2009,5,26.64,36.11,22.01,79.1
Puerto Ayacucho,2009,6,25.14,33.16,21.35,290.04
Puerto Ayacucho,2009,7,24.85,30.5,20.9,374.41
Puerto Ayacucho,2009,8,25.41,30.55,21.27,68.55
Puerto Ayacucho,2009,9,25.85,31.14,21.58,100.2
Puerto Ayacucho,2009,10,25.94,30.87,21.88,68.55
Puerto Ayacucho,2009,11,26.44,32.67,21.91,31.64
Puerto Ayacucho,2009,12,28.28,36.7,21.93,5.27
Puerto Ayacucho,2010,1,30.51,39.62,21.08,5.27
Puerto Ayacucho,2010,2,31.9,41.37,24.63,0.0
Puerto Ayacucho,2010,3,29.33,39.92,22.9,100.2
Puerto Ayacucho,2010,4,27.14,37.33,23.05,247.85
Puerto Ayacucho,2010,5,26.19,32.76,21.58,174.02
Puerto Ayacucho,2010,6,25.03,30.05,21.82,284.77
Puerto Ayacucho,2010,7,24.67,29.72,21.34,469.34
Puerto Ayacucho,2010,8,24.94,29.52,20.87,142.38
Puerto Ayacucho,2010,9,25.55,30.58,21.25,158.2
Puerto Ayacucho,2010,10,25.88,31.76,20.65,31.64
Puerto Ayacucho,2010,11,25.23,30.48,21.02,232.03
Puerto Ayacucho,2010,12,25.19,30.01,20.69,73.83
Puerto Ayacucho,2011,1,25.51,32.81,19.66,0.0
Puerto Ayacucho,2011,2,27.94,36.15,21.0,5.27
Puerto Ayacucho,2011,3,27.99,37.99,21.5,31.64
Puerto Ayacucho,2011,4,26.31,37.89,21.03,168.75
Puerto Ayacucho,2011,5,25.05,30.16,21.67,564.26
Puerto Ayacucho,2011,6,25.43,30.28,21.85,274.22
Puerto Ayacucho,2011,7,24.7,29.45,21.69,300.59
Puerto Ayacucho,2011,8,25.14,30.47,21.8,179.3
Puerto Ayacucho,2011,9,25.19,30.32,21.51,284.77
Puerto Ayacucho,2011,10,25.3,30.38,21.03,105.47
Puerto Ayacucho,2011,11,25.39,30.22,21.16,232.03
Puerto Ayacucho,2011,12,25.38,30.05,21.49,31.64
Puerto Ayacucho,2012,1,25.1,29.93,20.09,10.55
Puerto Ayacucho,2012,2,26.97,35.24,21.37,10.55
Puerto Ayacucho,2012,3,27.21,36.36,22.48,121.29
Puerto Ayacucho,2012,4,25.33,30.94,21.25,226.76
Puerto Ayacucho,2012,5,25.03,30.14,21.9,210.94
Puerto Ayacucho,2012,6,24.77,29.39,21.29,268.95
Puerto Ayacucho,2012,7,24.4,28.94,20.36,268.95
Puerto Ayacucho,2012,8,24.58,29.54,20.6,279.49
Puerto Ayacucho,2012,9,25.38,30.49,21.54,89.65
Puerto Ayacucho,2012,10,25.51,30.55,21.1,26.37
Puerto Ayacucho,2012,11,25.92,31.05,21.58,42.19
Puerto Ayacucho,2012,12,26.58,34.48,21.42,0.0
Puerto Ayacucho,2013,1,29.08,38.2,20.15,0.0
Puerto Ayacucho,2013,2,30.3,38.4,23.98,0.0
Puerto Ayacucho,2013,3,29.22,39.8,22.49,79.1
Puerto Ayacucho,2013,4,27.88,39.19,21.25,126.56
Puerto Ayacucho,2013,5,25.81,32.46,22.23,247.85
Puerto Ayacucho,2013,6,25.02,29.74,21.32,400.78
Puerto Ayacucho,2013,7,24.77,29.6,20.17,216.21
Puerto Ayacucho,2013,8,24.9,30.35,21.51,453.52
Puerto Ayacucho,2013,9,25.46,30.46,21.08,221.48
Puerto Ayacucho,2013,10,25.5,30.37,21.91,221.48
Puerto Ayacucho,2013,11,25.69,30.87,22.4,68.55
Puerto Ayacucho,2013,12,25.62,30.48,20.14,0.0
Puerto Ayacucho,2014,1,27.23,35.73,19.61,15.82
Puerto Ayacucho,2014,2,29.77,37.92,22.14,5.27
Puerto Ayacucho,2014,3,30.23,39.37,22.34,26.37
Puerto Ayacucho,2014,4,27.95,37.11,23.02,89.65
Puerto Ayacucho,2014,5,27.19,37.71,21.99,189.84
Puerto Ayacucho,2014,6,25.28,32.28,21.44,427.15
Puerto Ayacucho,2014,7,24.87,29.9,21.77,685.55
Puerto Ayacucho,2014,8,24.79,29.73,21.16,279.49
Puerto Ayacucho,2014,9,25.3,30.78,21.56,121.29
Puerto Ayacucho,2014,10,25.34,29.82,21.59,253.12
Puerto Ayacucho,2014,11,25.63,30.5,22.21,94.92
Puerto Ayacucho,2014,12,25.87,30.64,21.26,31.64
Puerto Ayacucho,2015,1,25.69,32.55,19.7,31.64
Puerto Ayacucho,2015,2,27.85,35.87,21.76,26.37
Puerto Ayacucho,2015,3,29.87,38.43,22.21,15.82
Puerto Ayacucho,2015,4,28.19,38.22,22.65,58.01
Puerto Ayacucho,2015,5,27.25,37.85,22.48,221.48
Puerto Ayacucho,2015,6,25.28,29.63,22.15,442.97
Puerto Ayacucho,2015,7,25.24,29.78,21.7,337.5
Puerto Ayacucho,2015,8,25.33,29.73,21.94,290.04
Puerto Ayacucho,2015,9,26.16,31.06,21.04,89.65
Puerto Ayacucho,2015,10,26.43,31.62,22.3,168.75
Puerto Ayacucho,2015,11,26.13,30.73,22.52,121.29
Puerto Ayacucho,2015,12,25.9,30.37,20.99,15.82
Puerto Ayacucho,2016,1,27.71,36.43,21.25,0.0
Puerto Ayacucho,2016,2,30.87,38.73,23.43,15.82
Puerto Ayacucho,2016,3,32.18,40.67,25.24,31.64
Puerto Ayacucho,2016,4,27.87,37.4,22.89,316.41
Puerto Ayacucho,2016,5,25.84,30.46,22.71,274.22
Puerto Ayacucho,2016,6,25.19,30.23,21.9,469.34
Puerto Ayacucho,2016,7,24.98,29.83,21.47,316.41
Puerto Ayacucho,2016,8,25.37,30.8,20.84,189.84
Puerto Ayacucho,2016,9,25.55,31.05,21.61,142.38
